country_name,country_code,Year,Inflation,Unemployment
Ireland,IRL,2013,0.508149569,13.74
Italy,ITA,2013,1.218015296,12.15
Latvia,LVA,2013,-0.028108311,11.87
Lithuania,LTU,2013,1.043316255,11.77
Luxembourg,LUX,2013,1.7426526,5.85
Malta,MLT,2013,1.176358979,6.11
Netherlands,NLD,2013,2.508345255,7.24
Poland,POL,2013,0.991199629,10.33
Portugal,PRT,2013,0.272223787,16.18
Romania,ROU,2013,3.979143798,7.1
Slovak Republic,SVK,2013,1.393145723,14.22
Slovenia,SVN,2013,1.761608425,10.1
Spain,ESP,2013,1.409383277,26.09
Sweden,SWE,2013,-0.048132461,8.05
Austria,AUT,2014,1.611558766,5.62
Belgium,BEL,2014,0.33438603,8.52
Bulgaria,BGR,2014,-1.413394919,11.42
Croatia,HRV,2014,-0.221996115,17.29
Cyprus,CYP,2014,-1.348143929,16.09
Czech Republic,CZE,2014,0.346506836,6.11
Denmark,DNK,2014,0.565770863,6.93
Estonia,EST,2014,-0.106999554,7.35
Finland,FIN,2014,1.047363055,8.66
France,FRA,2014,0.504713837,10.29
Germany,DEU,2014,0.908316775,4.98
Greece,GRC,2014,-1.308824945,26.49
Hungary,HUN,2014,-0.232745502,7.73
Ireland,IRL,2014,0.181245827,11.86
Italy,ITA,2014,0.242537313,12.68
Latvia,LVA,2014,0.618556701,10.85
Lithuania,LTU,2014,0.101410528,10.7
Luxembourg,LUX,2014,0.620312934,5.85
Malta,MLT,2014,0.309423347,5.73
Netherlands,NLD,2014,0.97692594,7.42
Poland,POL,2014,0.055035773,8.99
Portugal,PRT,2014,-0.280846283,13.89
Romania,ROU,2014,1.073282308,6.8
Slovak Republic,SVK,2014,-0.073280205,13.18
Slovenia,SVN,2014,0.206980901,9.67
Spain,ESP,2014,-0.14923981,24.44
Sweden,SWE,2014,-0.182991428,7.95
Austria,AUT,2015,0.89326406,5.72
Belgium,BEL,2015,0.564710239,8.48
Bulgaria,BGR,2015,-0.103073463,9.14
Croatia,HRV,2015,-0.463520905,16.18
Cyprus,CYP,2015,-2.097969397,14.91
Czech Republic,CZE,2015,0.307979468,5.05
Denmark,DNK,2015,0.450070323,6.28
Estonia,EST,2015,-0.499866107,6.19
Finland,FIN,2015,-0.210970464,9.38
France,FRA,2015,0.037900322,10.35
Germany,DEU,2015,0.515705579,4.62
Greece,GRC,2015,-1.735738664,24.9
Hungary,HUN,2015,-0.062808434,6.81
Ireland,IRL,2015,-0.29518187,9.91
