Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8537.929378,9269.269617,9446.158002,9421.285655,9590.730201,8706.766601,7041.601959,7555.100465,7958.747925,8030.90466,8528.983334,9055.679936,9082.758533,9698.189062,10130.50523,10376.9717,10544.70357,10672.16601,10076.22062,10401.54581,13636.39623,12868.26916,13049.80322,14222.0368,15846.54414,17959.25544,19307.60966,20976.54353,23066.53376,19355.90467,20722.13729,22514.23795,23654.35139,24744.29696,24989.40012,22634.11865,22608.48428,23742.98502,23991.05668,23503.97713,0
"Bahamas, The",BHS,"GDP per capita, total",SP.GDP_PC.TOTL,1550.239392,1651.288985,1752.854481,1867.025012,1994.380832,2144.754403,2322.689948,2556.651018,2804.333876,3215.095179,3178.844552,3297.50588,3322.163876,3696.072544,3416.162489,3156.234118,3328.512407,3617.434716,4131.468448,5533.439976,6340.726812,6624.838617,7168.095774,7698.459242,8877.319798,9893.084177,10344.45249,11156.28209,11387.70908,12163.68136,12356.4239,11919.7879,11686.69581,11406.68981,11814.5632,12238.3862,12708.73096,22036.48411,23514.42031,26130.10182,27097.61081,27486.23677,28866.80101,28327.27087,28395.92466,30278.36692,30713.70528,31472.09897,30627.23863,28552.19048,28443.40766,28006.37972,29485.62093,28783.55412,29980.06114,31295.06208,31562.63974,32718.6381,33767.50337,34863.7421,0
Bosnia and Herzegovina,BIH,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.0130351,487.4767773,740.0985069,982.801849,1102.390983,1251.747261,1467.776477,1530.814816,1769.199828,2224.745864,2814.999895,2980.602109,3416.510596,4193.373652,5090.932345,4714.702495,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277712,4994.68314,5394.59122,6072.184623,6108.510696,0
Belarus,BLR,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124.840514,1765.744556,1667.681777,1590.095882,1460.059076,1370.676559,1452.445488,1396.501786,1511.770053,1210.61172,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5351.355382,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6330.075246,6663.295293,0
Belize,BLZ,"GDP per capita, total",SP.GDP_PC.TOTL,304.9171072,316.4036061,327.1268675,336.9414661,351.1611262,377.5943052,406.0979671,420.4318882,386.953237,396.6543063,435.6904694,474.4442162,519.5635077,605.9334407,786.0690923,885.9845287,717.0401829,858.8280811,980.8225093,1074.271965,1373.093007,1328.828149,1202.682026,1232.837379,1336.987589,1289.367289,1366.049729,1612.451575,1787.951384,2011.968729,2197.185023,2326.821554,2666.8816,2832.975327,2880.125446,2996.382928,3001.83372,2952.948596,2992.444754,3066.053526,3364.332936,3404.453017,3525.638583,3650.366521,3802.295808,3883.192389,4153.894738,4252.48725,4404.330836,4186.489965,4270.864345,4423.489797,4505.621302,4568.502958,4705.60269,4775.955648,4818.403909,4887.577208,4884.734162,4815.163711,0
Bermuda,BMU,"GDP per capita, total",SP.GDP_PC.TOTL,1902.402119,1961.538169,2020.385965,2020.265248,2199.727006,2282.216547,2630.850467,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113021.4174,117089.2863,0
Bolivia,BOL,"GDP per capita, total",SP.GDP_PC.TOTL,102.2378902,109.0610115,116.9251527,123.4293095,136.3124308,149.6400739,162.3260545,179.5833371,199.6297997,211.7971127,226.8069714,239.1281251,268.5841301,263.8923602,429.2976473,480.8030783,534.2734949,617.3069473,703.1363482,809.4112894,811.2848632,1030.833416,960.9836129,913.9751588,1019.057762,870.1856484,627.3985293,671.0751255,698.69264,701.6661474,709.0596725,762.0780332,788.1519898,784.1917393,801.0460297,880.992224,950.8565083,998.5153242,1049.499374,1003.392231,997.5824599,948.8712067,904.2266273,907.53711,967.406992,1034.31124,1218.874459,1372.628225,1715.208922,1754.211061,1955.461544,2346.337155,2609.880814,2908.200095,3081.878823,3035.972213,3076.65895,3351.124044,3548.590155,3552.06876,0
Brazil,BRA,"GDP per capita, total",SP.GDP_PC.TOTL,210.1098994,205.0407683,260.4256531,292.2521363,261.6666196,261.3543545,315.7972029,347.4930561,374.7867754,403.8842673,445.0231006,504.7495161,586.214405,775.2733003,1004.104838,1153.827446,1390.624789,1567.003653,1744.258069,1908.48348,1947.279753,2132.882597,2226.764856,1570.54349,1578.927077,1648.083654,1941.489482,2087.306808,2300.374184,2908.49404,3100.281931,3975.390089,2596.918255,2791.211817,3500.611506,4748.213145,5166.161114,5282.011068,5087.149797,3478.375167,3749.755278,3156.79716,2829.280476,3070.910926,3637.46427,4790.436135,5886.462049,7348.007915,8830.99934,8597.916468,11286.2346,13245.60754,12370.03085,12300.3402,12112.57033,8813.979596,8710.09587,9925.381205,9001.22215,8717.195561,0
Barbados,BRB,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.543163,1633.849562,1760.667205,1988.84725,2209.740519,2667.03714,4010.715845,4398.790133,4580.898411,4851.156675,5271.647303,5500.349723,6019.887374,6605.600006,6999.686914,7717.296195,7711.206798,7714.94894,7444.291442,7819.421834,8121.561917,8335.899291,8850.980168,9315.82862,10459.3648,10914.44367,11268.25406,11209.17431,11361.43367,11699.45576,12512.53251,13822.59168,15199.45797,16770.72121,17092.58214,15885.57971,16056.37098,16458.35321,16249.55939,16451.16358,16489.07224,16525.07325,16900.16655,17391.42587,17745.19346,18148.24493,0
Brunei Darussalam,BRN,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,1113.826555,1237.563579,1236.397674,1364.054408,1304.29846,1382.548304,1455.898307,1906.877496,2916.208815,6923.087895,7228.442862,8461.48707,9917.47176,10714.94001,14945.20376,25422.17031,21828.77723,20693.72448,18128.98745,17337.10594,15698.94525,10214.11696,11594.66515,11009.30243,11872.63073,13607.5221,13905.06387,15274.44463,14575.72982,14120.85499,15933.34557,16793.28097,16660.36125,12693.79098,14101.34576,18012.55626,16472.14862,16850.15113,18560.60857,21902.08805,26105.27903,30979.87917,32663.56659,37934.37651,27955.71386,35269.55311,47055.84112,47740.5149,44740.08502,41726.78397,31164.56203,27157.82341,28572.14678,31628.32879,31086.75112,0
